_id,has_rain,has_rain_1,has_rain_2,has_rain_3,has_rain_4,has_rain_5,has_rain_6,humidity_avg_1,humidity_avg_2,humidity_avg_3,humidity_avg_4,humidity_avg_5,humidity_avg_6,humidity_fall_1,humidity_fall_2,humidity_fall_3,humidity_fall_4,humidity_fall_5,humidity_fall_6,humidity_max_1,humidity_max_2,humidity_max_3,humidity_max_4,humidity_max_5,humidity_max_6,humidity_min_1,humidity_min_2,humidity_min_3,humidity_min_4,humidity_min_5,humidity_min_6,humidity_rise_1,humidity_rise_2,humidity_rise_3,humidity_rise_4,humidity_rise_5,humidity_rise_6,humidity_steady_1,humidity_steady_2,humidity_steady_3,humidity_steady_4,humidity_steady_5,humidity_steady_6,light_avg_1,light_avg_2,light_avg_3,light_avg_4,light_avg_5,light_avg_6,light_fall_1,light_fall_2,light_fall_3,light_fall_4,light_fall_5,light_fall_6,light_max_1,light_max_2,light_max_3,light_max_4,light_max_5,light_max_6,light_min_1,light_min_2,light_min_3,light_min_4,light_min_5,light_min_6,light_rise_1,light_rise_2,light_rise_3,light_rise_4,light_rise_5,light_rise_6,light_steady_1,light_steady_2,light_steady_3,light_steady_4,light_steady_5,light_steady_6,pressure_avg_1,pressure_avg_2,pressure_avg_3,pressure_avg_4,pressure_avg_5,pressure_avg_6,pressure_fall_1,pressure_fall_2,pressure_fall_3,pressure_fall_4,pressure_fall_5,pressure_fall_6,pressure_max_1,pressure_max_2,pressure_max_3,pressure_max_4,pressure_max_5,pressure_max_6,pressure_min_1,pressure_min_2,pressure_min_3,pressure_min_4,pressure_min_5,pressure_min_6,pressure_rise_1,pressure_rise_2,pressure_rise_3,pressure_rise_4,pressure_rise_5,pressure_rise_6,pressure_steady_1,pressure_steady_2,pressure_steady_3,pressure_steady_4,pressure_steady_5,pressure_steady_6,rain_avg_1,rain_avg_2,rain_avg_3,rain_avg_4,rain_avg_5,rain_avg_6,rain_fall_1,rain_fall_2,rain_fall_3,rain_fall_4,rain_fall_5,rain_fall_6,rain_max_1,rain_max_2,rain_max_3,rain_max_4,rain_max_5,rain_max_6,rain_min_1,rain_min_2,rain_min_3,rain_min_4,rain_min_5,rain_min_6,rain_rise_1,rain_rise_2,rain_rise_3,rain_rise_4,rain_rise_5,rain_rise_6,rain_steady_1,rain_steady_2,rain_steady_3,rain_steady_4,rain_steady_5,rain_steady_6,temperature_avg_1,temperature_avg_2,temperature_avg_3,temperature_avg_4,temperature_avg_5,temperature_avg_6,temperature_fall_1,temperature_fall_2,temperature_fall_3,temperature_fall_4,temperature_fall_5,temperature_fall_6,temperature_max_1,temperature_max_2,temperature_max_3,temperature_max_4,temperature_max_5,temperature_max_6,temperature_min_1,temperature_min_2,temperature_min_3,temperature_min_4,temperature_min_5,temperature_min_6,temperature_rise_1,temperature_rise_2,temperature_rise_3,temperature_rise_4,temperature_rise_5,temperature_rise_6,temperature_steady_1,temperature_steady_2,temperature_steady_3,temperature_steady_4,temperature_steady_5,temperature_steady_6
05_10_2017_3,1,1.0,1.0,0.0,1.0,0.0,0.0,80.56521739130434,69.1304347826087,70.04347826086956,75.26086956521739,0.0,68.34782608695652,9.0,7.0,7.0,6.0,5.0,8.0,84.0,82.0,75.0,78.0,77.0,71.0,75.0,61.0,68.0,74.0,70.0,65.0,5.0,14.0,3.0,5.0,12.0,9.0,9.0,2.0,13.0,12.0,7.0,6.0,159.3913043478261,10.434782608695652,0.0,0.7391304347826086,0.0,453.17391304347825,6.0,4.0,0.0,3.0,15.0,12.0,341.0,45.0,0.0,9.0,444.0,731.0,52.0,0.0,0.0,0.0,7.0,190.0,17.0,8.0,0.0,1.0,8.0,11.0,0.0,11.0,23.0,19.0,1.0,0.0,1005.3913043478261,1002.5652173913044,1000.5652173913044,998.5652173913044,0.0,997.5217391304348,0.0,0.0,1.0,0.0,0.0,1.0,1006.0,1004.0,1001.0,999.0,997.0,998.0,1005.0,1001.0,1000.0,997.0,997.0,997.0,2.0,4.0,3.0,3.0,1.0,1.0,21.0,19.0,19.0,20.0,23.0,21.0,4.086956521739131,4.130434782608695,0.0,6.956521739130435,0.0,0.0,6.0,10.0,0.0,9.0,1.0,0.0,6.0,19.0,0.0,17.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,4.0,1.0,0.0,11.0,7.0,23.0,10.0,22.0,23.0,7.217391304347826,8.173913043478262,10.478260869565217,11.434782608695652,0.0,14.782608695652174,1.0,3.0,1.0,1.0,2.0,4.0,8.0,9.0,11.0,12.0,14.0,16.0,6.0,6.0,10.0,11.0,12.0,14.0,3.0,2.0,1.0,1.0,1.0,4.0,19.0,18.0,21.0,21.0,21.0,15.0
05_10_2017_4,0,1.0,1.0,1.0,0.0,1.0,0.0,69.8695652173913,80.56521739130434,69.1304347826087,70.04347826086956,75.26086956521739,0.0,11.0,9.0,7.0,7.0,6.0,5.0,76.0,84.0,82.0,75.0,78.0,77.0,65.0,75.0,61.0,68.0,74.0,70.0,7.0,5.0,14.0,3.0,5.0,12.0,5.0,9.0,2.0,13.0,12.0,7.0,382.82608695652175,159.3913043478261,10.434782608695652,0.0,0.7391304347826086,0.0,8.0,6.0,4.0,0.0,3.0,15.0,558.0,341.0,45.0,0.0,9.0,444.0,240.0,52.0,0.0,0.0,0.0,7.0,15.0,17.0,8.0,0.0,1.0,8.0,0.0,0.0,11.0,23.0,19.0,1.0,1006.6086956521739,1005.3913043478261,1002.5652173913044,1000.5652173913044,998.5652173913044,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1007.0,1006.0,1004.0,1001.0,999.0,997.0,1006.0,1005.0,1001.0,1000.0,997.0,997.0,3.0,2.0,4.0,3.0,3.0,1.0,18.0,21.0,19.0,19.0,20.0,23.0,1.9565217391304348,4.086956521739131,4.130434782608695,0.0,6.956521739130435,0.0,5.0,6.0,10.0,0.0,9.0,1.0,4.0,6.0,19.0,0.0,17.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,4.0,1.0,16.0,11.0,7.0,23.0,10.0,22.0,10.173913043478262,7.217391304347826,8.173913043478262,10.478260869565217,11.434782608695652,0.0,4.0,1.0,3.0,1.0,1.0,2.0,12.0,8.0,9.0,11.0,12.0,14.0,8.0,6.0,6.0,10.0,11.0,12.0,7.0,3.0,2.0,1.0,1.0,1.0,12.0,19.0,18.0,21.0,21.0,21.0
05_10_2017_5,0,0.0,1.0,1.0,1.0,0.0,1.0,66.65217391304348,69.8695652173913,80.56521739130434,69.1304347826087,70.04347826086956,75.26086956521739,4.0,11.0,9.0,7.0,7.0,6.0,72.0,76.0,84.0,82.0,75.0,78.0,64.0,65.0,75.0,61.0,68.0,74.0,9.0,7.0,5.0,14.0,3.0,5.0,10.0,5.0,9.0,2.0,13.0,12.0,178.82608695652175,382.82608695652175,159.3913043478261,10.434782608695652,0.0,0.7391304347826086,14.0,8.0,6.0,4.0,0.0,3.0,467.0,558.0,341.0,45.0,0.0,9.0,41.0,240.0,52.0,0.0,0.0,0.0,9.0,15.0,17.0,8.0,0.0,1.0,0.0,0.0,0.0,11.0,23.0,19.0,1006.0,1006.6086956521739,1005.3913043478261,1002.5652173913044,1000.5652173913044,998.5652173913044,0.0,2.0,0.0,0.0,1.0,0.0,1006.0,1007.0,1006.0,1004.0,1001.0,999.0,1006.0,1006.0,1005.0,1001.0,1000.0,997.0,1.0,3.0,2.0,4.0,3.0,3.0,22.0,18.0,21.0,19.0,19.0,20.0,0.0,1.9565217391304348,4.086956521739131,4.130434782608695,0.0,6.956521739130435,0.0,5.0,6.0,10.0,0.0,9.0,0.0,4.0,6.0,19.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,4.0,23.0,16.0,11.0,7.0,23.0,10.0,11.826086956521738,10.173913043478262,7.217391304347826,8.173913043478262,10.478260869565217,11.434782608695652,1.0,4.0,1.0,3.0,1.0,1.0,12.0,12.0,8.0,9.0,11.0,12.0,11.0,8.0,6.0,6.0,10.0,11.0,1.0,7.0,3.0,2.0,1.0,1.0,21.0,12.0,19.0,18.0,21.0,21.0
05_11_2017_0,0,0.0,0.0,1.0,1.0,1.0,0.0,72.52173913043478,66.65217391304348,69.8695652173913,80.56521739130434,69.1304347826087,70.04347826086956,10.0,4.0,11.0,9.0,7.0,7.0,83.0,72.0,76.0,84.0,82.0,75.0,57.0,64.0,65.0,75.0,61.0,68.0,9.0,9.0,7.0,5.0,14.0,3.0,4.0,10.0,5.0,9.0,2.0,13.0,2.3043478260869565,178.82608695652175,382.82608695652175,159.3913043478261,10.434782608695652,0.0,3.0,14.0,8.0,6.0,4.0,0.0,35.0,467.0,558.0,341.0,45.0,0.0,0.0,41.0,240.0,52.0,0.0,0.0,1.0,9.0,15.0,17.0,8.0,0.0,19.0,0.0,0.0,0.0,11.0,23.0,1006.7826086956521,1006.0,1006.6086956521739,1005.3913043478261,1002.5652173913044,1000.5652173913044,0.0,0.0,2.0,0.0,0.0,1.0,1007.0,1006.0,1007.0,1006.0,1004.0,1001.0,1006.0,1006.0,1006.0,1005.0,1001.0,1000.0,2.0,1.0,3.0,2.0,4.0,3.0,21.0,22.0,18.0,21.0,19.0,19.0,0.0,0.0,1.9565217391304348,4.086956521739131,4.130434782608695,0.0,0.0,0.0,5.0,6.0,10.0,0.0,0.0,0.0,4.0,6.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,23.0,23.0,16.0,11.0,7.0,23.0,11.826086956521738,11.826086956521738,10.173913043478262,7.217391304347826,8.173913043478262,10.478260869565217,3.0,1.0,4.0,1.0,3.0,1.0,19.0,12.0,12.0,8.0,9.0,11.0,9.0,11.0,8.0,6.0,6.0,10.0,4.0,1.0,7.0,3.0,2.0,1.0,16.0,21.0,12.0,19.0,18.0,21.0
05_11_2017_1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,72.52173913043478,66.65217391304348,69.8695652173913,80.56521739130434,69.1304347826087,6.0,10.0,4.0,11.0,9.0,7.0,88.0,83.0,72.0,76.0,84.0,82.0,82.0,57.0,64.0,65.0,75.0,61.0,12.0,9.0,9.0,7.0,5.0,14.0,7.0,4.0,10.0,5.0,9.0,2.0,0.0,2.3043478260869565,178.82608695652175,382.82608695652175,159.3913043478261,10.434782608695652,0.0,3.0,14.0,8.0,6.0,4.0,0.0,35.0,467.0,558.0,341.0,45.0,0.0,0.0,41.0,240.0,52.0,0.0,0.0,1.0,9.0,15.0,17.0,8.0,25.0,19.0,0.0,0.0,0.0,11.0,0.0,1006.7826086956521,1006.0,1006.6086956521739,1005.3913043478261,1002.5652173913044,0.0,0.0,0.0,2.0,0.0,0.0,1007.0,1007.0,1006.0,1007.0,1006.0,1004.0,1007.0,1006.0,1006.0,1006.0,1005.0,1001.0,1.0,2.0,1.0,3.0,2.0,4.0,24.0,21.0,22.0,18.0,21.0,19.0,0.0,0.0,0.0,1.9565217391304348,4.086956521739131,4.130434782608695,0.0,0.0,0.0,5.0,6.0,10.0,0.0,0.0,0.0,4.0,6.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,25.0,23.0,23.0,16.0,11.0,7.0,0.0,11.826086956521738,11.826086956521738,10.173913043478262,7.217391304347826,8.173913043478262,4.0,3.0,1.0,4.0,1.0,3.0,9.0,19.0,12.0,12.0,8.0,9.0,7.0,9.0,11.0,8.0,6.0,6.0,3.0,4.0,1.0,7.0,3.0,2.0,18.0,16.0,21.0,12.0,19.0,18.0
05_11_2017_2,0,0.0,0.0,0.0,0.0,1.0,1.0,86.27272727272727,0.0,72.52173913043478,66.65217391304348,69.8695652173913,80.56521739130434,7.0,6.0,10.0,4.0,11.0,9.0,89.0,88.0,83.0,72.0,76.0,84.0,80.0,82.0,57.0,64.0,65.0,75.0,7.0,12.0,9.0,9.0,7.0,5.0,8.0,7.0,4.0,10.0,5.0,9.0,80.5,0.0,2.3043478260869565,178.82608695652175,382.82608695652175,159.3913043478261,0.0,0.0,3.0,14.0,8.0,6.0,264.0,0.0,35.0,467.0,558.0,341.0,0.0,0.0,0.0,41.0,240.0,52.0,13.0,0.0,1.0,9.0,15.0,17.0,9.0,25.0,19.0,0.0,0.0,0.0,1006.5454545454545,0.0,1006.7826086956521,1006.0,1006.6086956521739,1005.3913043478261,0.0,0.0,0.0,0.0,2.0,0.0,1007.0,1007.0,1007.0,1006.0,1007.0,1006.0,1006.0,1007.0,1006.0,1006.0,1006.0,1005.0,2.0,1.0,2.0,1.0,3.0,2.0,20.0,24.0,21.0,22.0,18.0,21.0,0.0,0.0,0.0,0.0,1.9565217391304348,4.086956521739131,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,22.0,25.0,23.0,23.0,16.0,11.0,7.545454545454546,0.0,11.826086956521738,11.826086956521738,10.173913043478262,7.217391304347826,1.0,4.0,3.0,1.0,4.0,1.0,10.0,9.0,19.0,12.0,12.0,8.0,7.0,7.0,9.0,11.0,8.0,6.0,4.0,3.0,4.0,1.0,7.0,3.0,17.0,18.0,16.0,21.0,12.0,19.0
05_11_2017_3,0,0.0,0.0,0.0,0.0,0.0,1.0,51.52173913043478,86.27272727272727,0.0,72.52173913043478,66.65217391304348,69.8695652173913,11.0,7.0,6.0,10.0,4.0,11.0,76.0,89.0,88.0,83.0,72.0,76.0,37.0,80.0,82.0,57.0,64.0,65.0,7.0,7.0,12.0,9.0,9.0,7.0,5.0,8.0,7.0,4.0,10.0,5.0,1751.608695652174,80.5,0.0,2.3043478260869565,178.82608695652175,382.82608695652175,4.0,0.0,0.0,3.0,14.0,8.0,3151.0,264.0,0.0,35.0,467.0,558.0,286.0,0.0,0.0,0.0,41.0,240.0,19.0,13.0,0.0,1.0,9.0,15.0,0.0,9.0,25.0,19.0,0.0,0.0,1007.695652173913,1006.5454545454545,0.0,1006.7826086956521,1006.0,1006.6086956521739,1.0,0.0,0.0,0.0,0.0,2.0,1008.0,1007.0,1007.0,1007.0,1006.0,1007.0,1007.0,1006.0,1007.0,1006.0,1006.0,1006.0,2.0,2.0,1.0,2.0,1.0,3.0,20.0,20.0,24.0,21.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,1.9565217391304348,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,22.0,25.0,23.0,23.0,16.0,18.391304347826086,7.545454545454546,0.0,11.826086956521738,11.826086956521738,10.173913043478262,5.0,1.0,4.0,3.0,1.0,4.0,22.0,10.0,9.0,19.0,12.0,12.0,10.0,7.0,7.0,9.0,11.0,8.0,11.0,4.0,3.0,4.0,1.0,7.0,7.0,17.0,18.0,16.0,21.0,12.0
05_11_2017_4,0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,51.52173913043478,86.27272727272727,0.0,72.52173913043478,66.65217391304348,8.0,11.0,7.0,6.0,10.0,4.0,47.0,76.0,89.0,88.0,83.0,72.0,43.0,37.0,80.0,82.0,57.0,64.0,10.0,7.0,7.0,12.0,9.0,9.0,5.0,5.0,8.0,7.0,4.0,10.0,232.82608695652175,1751.608695652174,80.5,0.0,2.3043478260869565,178.82608695652175,19.0,4.0,0.0,0.0,3.0,14.0,563.0,3151.0,264.0,0.0,35.0,467.0,139.0,286.0,0.0,0.0,0.0,41.0,4.0,19.0,13.0,0.0,1.0,9.0,0.0,0.0,9.0,25.0,19.0,0.0,1006.6521739130435,1007.695652173913,1006.5454545454545,0.0,1006.7826086956521,1006.0,1.0,1.0,0.0,0.0,0.0,0.0,1007.0,1008.0,1007.0,1007.0,1007.0,1006.0,1006.0,1007.0,1006.0,1007.0,1006.0,1006.0,1.0,2.0,2.0,1.0,2.0,1.0,21.0,20.0,20.0,24.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,22.0,25.0,23.0,23.0,19.434782608695652,18.391304347826086,7.545454545454546,0.0,11.826086956521738,11.826086956521738,2.0,5.0,1.0,4.0,3.0,1.0,20.0,22.0,10.0,9.0,19.0,12.0,19.0,10.0,7.0,7.0,9.0,11.0,4.0,11.0,4.0,3.0,4.0,1.0,17.0,7.0,17.0,18.0,16.0,21.0
05_11_2017_5,0,0.0,0.0,0.0,0.0,0.0,0.0,48.869565217391305,45.0,51.52173913043478,86.27272727272727,0.0,72.52173913043478,6.0,8.0,11.0,7.0,6.0,10.0,54.0,47.0,76.0,89.0,88.0,83.0,46.0,43.0,37.0,80.0,82.0,57.0,9.0,10.0,7.0,7.0,12.0,9.0,8.0,5.0,5.0,8.0,7.0,4.0,128.04347826086956,232.82608695652175,1751.608695652174,80.5,0.0,2.3043478260869565,15.0,19.0,4.0,0.0,0.0,3.0,194.0,563.0,3151.0,264.0,0.0,35.0,38.0,139.0,286.0,0.0,0.0,0.0,8.0,4.0,19.0,13.0,0.0,1.0,0.0,0.0,0.0,9.0,25.0,19.0,1005.304347826087,1006.6521739130435,1007.695652173913,1006.5454545454545,0.0,1006.7826086956521,1.0,1.0,1.0,0.0,0.0,0.0,1006.0,1007.0,1008.0,1007.0,1007.0,1007.0,1005.0,1006.0,1007.0,1006.0,1007.0,1006.0,1.0,1.0,2.0,2.0,1.0,2.0,21.0,21.0,20.0,20.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,22.0,25.0,23.0,19.869565217391305,19.434782608695652,18.391304347826086,7.545454545454546,0.0,11.826086956521738,1.0,2.0,5.0,1.0,4.0,3.0,20.0,20.0,22.0,10.0,9.0,19.0,19.0,19.0,10.0,7.0,7.0,9.0,1.0,4.0,11.0,4.0,3.0,4.0,21.0,17.0,7.0,17.0,18.0,16.0
05_12_2017_0,0,0.0,0.0,0.0,0.0,0.0,0.0,70.34782608695652,48.869565217391305,45.0,51.52173913043478,86.27272727272727,0.0,4.0,6.0,8.0,11.0,7.0,6.0,81.0,54.0,47.0,76.0,89.0,88.0,54.0,46.0,43.0,37.0,80.0,82.0,15.0,9.0,10.0,7.0,7.0,12.0,4.0,8.0,5.0,5.0,8.0,7.0,2.217391304347826,128.04347826086956,232.82608695652175,1751.608695652174,80.5,0.0,4.0,15.0,19.0,4.0,0.0,0.0,25.0,194.0,563.0,3151.0,264.0,0.0,0.0,38.0,139.0,286.0,0.0,0.0,1.0,8.0,4.0,19.0,13.0,0.0,18.0,0.0,0.0,0.0,9.0,25.0,1004.9565217391304,1005.304347826087,1006.6521739130435,1007.695652173913,1006.5454545454545,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1005.0,1006.0,1007.0,1008.0,1007.0,1007.0,1004.0,1005.0,1006.0,1007.0,1006.0,1007.0,2.0,1.0,1.0,2.0,2.0,1.0,20.0,21.0,21.0,20.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,22.0,25.0,16.608695652173914,19.869565217391305,19.434782608695652,18.391304347826086,7.545454545454546,0.0,4.0,1.0,2.0,5.0,1.0,4.0,20.0,20.0,20.0,22.0,10.0,9.0,15.0,19.0,19.0,10.0,7.0,7.0,2.0,1.0,4.0,11.0,4.0,3.0,17.0,21.0,17.0,7.0,17.0,18.0
