_id,has_rain,has_rain_1,has_rain_2,has_rain_3,has_rain_4,has_rain_5,has_rain_6,humidity_70percentile_1,humidity_70percentile_2,humidity_70percentile_3,humidity_70percentile_4,humidity_70percentile_5,humidity_70percentile_6,humidity_90percentile_1,humidity_90percentile_2,humidity_90percentile_3,humidity_90percentile_4,humidity_90percentile_5,humidity_90percentile_6,humidity_avg_1,humidity_avg_2,humidity_avg_3,humidity_avg_4,humidity_avg_5,humidity_avg_6,humidity_fall_1,humidity_fall_2,humidity_fall_3,humidity_fall_4,humidity_fall_5,humidity_fall_6,humidity_max_1,humidity_max_2,humidity_max_3,humidity_max_4,humidity_max_5,humidity_max_6,humidity_min_1,humidity_min_2,humidity_min_3,humidity_min_4,humidity_min_5,humidity_min_6,humidity_rise_1,humidity_rise_2,humidity_rise_3,humidity_rise_4,humidity_rise_5,humidity_rise_6,humidity_steady_1,humidity_steady_2,humidity_steady_3,humidity_steady_4,humidity_steady_5,humidity_steady_6,light_70percentile_1,light_70percentile_2,light_70percentile_3,light_70percentile_4,light_70percentile_5,light_70percentile_6,light_90percentile_1,light_90percentile_2,light_90percentile_3,light_90percentile_4,light_90percentile_5,light_90percentile_6,light_avg_1,light_avg_2,light_avg_3,light_avg_4,light_avg_5,light_avg_6,light_fall_1,light_fall_2,light_fall_3,light_fall_4,light_fall_5,light_fall_6,light_max_1,light_max_2,light_max_3,light_max_4,light_max_5,light_max_6,light_min_1,light_min_2,light_min_3,light_min_4,light_min_5,light_min_6,light_rise_1,light_rise_2,light_rise_3,light_rise_4,light_rise_5,light_rise_6,light_steady_1,light_steady_2,light_steady_3,light_steady_4,light_steady_5,light_steady_6,pressure_70percentile_1,pressure_70percentile_2,pressure_70percentile_3,pressure_70percentile_4,pressure_70percentile_5,pressure_70percentile_6,pressure_90percentile_1,pressure_90percentile_2,pressure_90percentile_3,pressure_90percentile_4,pressure_90percentile_5,pressure_90percentile_6,pressure_avg_1,pressure_avg_2,pressure_avg_3,pressure_avg_4,pressure_avg_5,pressure_avg_6,pressure_fall_1,pressure_fall_2,pressure_fall_3,pressure_fall_4,pressure_fall_5,pressure_fall_6,pressure_max_1,pressure_max_2,pressure_max_3,pressure_max_4,pressure_max_5,pressure_max_6,pressure_min_1,pressure_min_2,pressure_min_3,pressure_min_4,pressure_min_5,pressure_min_6,pressure_rise_1,pressure_rise_2,pressure_rise_3,pressure_rise_4,pressure_rise_5,pressure_rise_6,pressure_steady_1,pressure_steady_2,pressure_steady_3,pressure_steady_4,pressure_steady_5,pressure_steady_6,rain_70percentile_1,rain_70percentile_2,rain_70percentile_3,rain_70percentile_4,rain_70percentile_5,rain_70percentile_6,rain_90percentile_1,rain_90percentile_2,rain_90percentile_3,rain_90percentile_4,rain_90percentile_5,rain_90percentile_6,rain_avg_1,rain_avg_2,rain_avg_3,rain_avg_4,rain_avg_5,rain_avg_6,rain_fall_1,rain_fall_2,rain_fall_3,rain_fall_4,rain_fall_5,rain_fall_6,rain_max_1,rain_max_2,rain_max_3,rain_max_4,rain_max_5,rain_max_6,rain_min_1,rain_min_2,rain_min_3,rain_min_4,rain_min_5,rain_min_6,rain_rise_1,rain_rise_2,rain_rise_3,rain_rise_4,rain_rise_5,rain_rise_6,rain_steady_1,rain_steady_2,rain_steady_3,rain_steady_4,rain_steady_5,rain_steady_6,temperature_70percentile_1,temperature_70percentile_2,temperature_70percentile_3,temperature_70percentile_4,temperature_70percentile_5,temperature_70percentile_6,temperature_90percentile_1,temperature_90percentile_2,temperature_90percentile_3,temperature_90percentile_4,temperature_90percentile_5,temperature_90percentile_6,temperature_avg_1,temperature_avg_2,temperature_avg_3,temperature_avg_4,temperature_avg_5,temperature_avg_6,temperature_fall_1,temperature_fall_2,temperature_fall_3,temperature_fall_4,temperature_fall_5,temperature_fall_6,temperature_max_1,temperature_max_2,temperature_max_3,temperature_max_4,temperature_max_5,temperature_max_6,temperature_min_1,temperature_min_2,temperature_min_3,temperature_min_4,temperature_min_5,temperature_min_6,temperature_rise_1,temperature_rise_2,temperature_rise_3,temperature_rise_4,temperature_rise_5,temperature_rise_6,temperature_steady_1,temperature_steady_2,temperature_steady_3,temperature_steady_4,temperature_steady_5,temperature_steady_6
03_12_2018_2,0,1.0,0.0,0.0,0.0,0.0,0.0,87.1,87.0,63.0,48.0,88.1,87.0,88.7,91.0,75.0,50.699999999999996,90.39999999999999,88.0,80.94117647058823,84.67647058823529,59.61290322580645,46.705882352941174,75.79411764705883,85.80952380952381,15.0,13.0,8.0,14.0,17.0,5.0,91.0,93.0,79.0,56.0,92.0,91.0,68.0,76.0,46.0,43.0,57.0,79.0,13.0,20.0,20.0,11.0,14.0,13.0,6.0,1.0,3.0,9.0,3.0,3.0,700.4999999999999,0.0,0.0,338.4,583.8,0.0,930.5,0.0,0.0,489.5,880.2999999999998,0.0,458.1764705882353,0.0,0.9032258064516129,304.3235294117647,539.4117647058823,0.0,15.0,0.0,2.0,27.0,12.0,0.0,2281.0,0.0,23.0,551.0,2749.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,16.0,0.0,1.0,6.0,19.0,0.0,3.0,34.0,28.0,1.0,3.0,21.0,1000.0,1001.1,1002.0,1002.1,1004.0,1002.0,1000.0,1002.0,1002.0,1003.0,1004.0,1002.0,999.7941176470588,1000.9117647058823,1002.0,1002.3529411764706,1003.1470588235294,1002.047619047619,3.0,2.0,0.0,2.0,2.0,1.0,1000.0,1002.0,1002.0,1004.0,1004.0,1003.0,998.0,1000.0,1002.0,1002.0,1002.0,1002.0,2.0,1.0,1.0,1.0,5.0,2.0,29.0,31.0,30.0,31.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,31.0,34.0,34.0,21.0,11.0,11.0,17.0,18.0,15.0,9.0,13.0,11.0,20.0,19.0,16.0,10.0,9.558823529411764,9.617647058823529,16.032258064516128,17.676470588235293,12.058823529411764,9.238095238095237,5.0,7.0,13.0,7.0,7.0,2.0,13.0,11.0,20.0,19.0,17.0,10.0,7.0,7.0,11.0,16.0,8.0,9.0,9.0,4.0,9.0,8.0,10.0,2.0,20.0,23.0,9.0,19.0,17.0,17.0
06_13_2017_1,0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,62.8,47.0,74.10000000000001,90.0,67.4,73.0,64.0,49.7,89.7,92.0,75.6,70.25,57.885714285714286,45.588235294117645,59.205882352941174,86.91176470588235,57.484848484848484,6.0,6.0,11.0,22.0,7.0,7.0,74.0,66.0,51.0,91.0,93.0,78.0,66.0,48.0,36.0,34.0,75.0,41.0,12.0,21.0,18.0,9.0,15.0,22.0,14.0,8.0,5.0,3.0,12.0,4.0,0.0,104.99999999999991,440.2,2444.4,0.0,62.599999999999994,3.6000000000000085,211.8,592.4,2886.1,2.799999999999997,106.2,2.5625,68.14285714285714,480.7352941176471,1392.1764705882354,2.4705882352941178,35.121212121212125,0.0,14.0,20.0,5.0,0.0,12.0,45.0,301.0,3171.0,3161.0,46.0,125.0,0.0,0.0,160.0,71.0,0.0,0.0,4.0,5.0,14.0,29.0,4.0,5.0,28.0,16.0,0.0,0.0,30.0,16.0,1003.0,1004.0,1007.0,1008.0,1008.0,1008.0,1004.0,1004.0,1007.0,1008.0,1008.0,1008.0,1003.0625,1004.0,1005.9411764705883,1007.9411764705883,1008.0,1007.4545454545455,3.0,0.0,3.0,1.0,0.0,0.0,1004.0,1004.0,1007.0,1008.0,1008.0,1008.0,1002.0,1004.0,1004.0,1007.0,1008.0,1007.0,3.0,1.0,1.0,1.0,1.0,2.0,26.0,34.0,30.0,32.0,33.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,35.0,34.0,34.0,34.0,33.0,22.0,26.0,28.0,30.0,19.0,24.0,22.0,27.0,28.0,31.0,19.0,25.0,21.21875,24.97142857142857,27.41176470588235,25.0,18.794117647058822,22.484848484848484,3.0,4.0,7.0,2.0,2.0,8.0,23.0,27.0,30.0,32.0,20.0,25.0,20.0,23.0,26.0,18.0,18.0,20.0,1.0,1.0,5.0,14.0,1.0,4.0,28.0,30.0,22.0,18.0,31.0,21.0
09_27_2018_1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,59.0,45.0,100.0,100.0,97.0,100.0,83.8,46.0,100.0,100.0,100.0,100.0,59.81818181818182,42.74285714285714,75.1470588235294,99.97058823529412,88.6470588235294,0.0,7.0,14.0,9.0,0.0,8.0,100.0,100.0,48.0,100.0,100.0,100.0,100.0,39.0,38.0,40.0,99.0,38.0,1.0,19.0,12.0,4.0,2.0,15.0,32.0,7.0,9.0,21.0,32.0,11.0,0.0,0.0,240.59999999999997,258.6999999999999,0.0,0.0,0.0,21.800000000000008,278.8,2495.2,0.0,25.09999999999999,0.0,4.848484848484849,186.82857142857142,664.0882352941177,0.0,6.088235294117647,0.0,5.0,20.0,5.0,0.0,7.0,0.0,44.0,342.0,2661.0,0.0,58.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,15.0,24.0,0.0,1.0,33.0,26.0,0.0,5.0,34.0,26.0,1024.0,1024.4,1025.0,1025.0,1023.0,1020.0,1024.0,1025.0,1025.0,1025.0,1023.0,1021.0,1023.4242424242424,1024.060606060606,1024.2857142857142,1024.4117647058824,1022.7058823529412,1019.3235294117648,4.0,2.0,2.0,0.0,0.0,0.0,1025.0,1025.0,1025.0,1025.0,1023.0,1022.0,1022.0,1023.0,1023.0,1023.0,1022.0,1016.0,3.0,5.0,1.0,3.0,2.0,7.0,26.0,26.0,32.0,31.0,32.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,35.0,34.0,34.0,34.0,9.0,13.399999999999999,15.0,15.0,10.0,13.0,9.0,14.0,15.0,18.0,10.7,15.7,8.181818181818182,12.636363636363637,14.942857142857143,12.647058823529411,9.735294117647058,12.882352941176471,3.0,7.0,3.0,8.0,3.0,6.0,10.0,15.0,16.0,19.0,11.0,16.0,7.0,10.0,14.0,8.0,9.0,11.0,1.0,3.0,4.0,10.0,2.0,2.0,29.0,23.0,28.0,16.0,29.0,26.0
06_26_2017_2,0,0.0,0.0,0.0,0.0,0.0,0.0,72.1,86.0,64.8,44.0,72.4,70.1,77.7,88.0,72.6,44.0,74.0,74.0,61.26470588235294,82.26470588235294,51.74285714285714,41.94117647058823,60.333333333333336,66.91176470588235,22.0,9.0,7.0,13.0,19.0,7.0,87.0,91.0,78.0,45.0,75.0,77.0,43.0,71.0,32.0,36.0,36.0,60.0,7.0,20.0,25.0,12.0,5.0,17.0,5.0,5.0,3.0,9.0,9.0,10.0,2424.5,0.0,74.39999999999998,288.2,2510.4,0.0,2874.0,2.799999999999997,112.4,637.3,2921.4,1.3999999999999986,1365.8529411764705,2.7941176470588234,40.371428571428574,453.02941176470586,1472.8484848484848,2.235294117647059,2.0,0.0,17.0,26.0,3.0,0.0,3259.0,51.0,123.0,3289.0,3314.0,44.0,81.0,0.0,0.0,127.0,112.0,0.0,32.0,4.0,2.0,8.0,30.0,4.0,0.0,30.0,16.0,0.0,0.0,30.0,1002.0,1003.0,1003.0,1005.0,1006.0,1005.0,1002.0,1003.0,1003.0,1006.0,1006.0,1005.0,1002.0,1002.5,1003.0,1004.5882352941177,1005.9090909090909,1004.3823529411765,0.0,1.0,0.0,3.0,1.0,1.0,1002.0,1003.0,1003.0,1006.0,1006.0,1005.0,1002.0,1002.0,1003.0,1003.0,1005.0,1004.0,1.0,1.0,1.0,1.0,3.0,3.0,33.0,32.0,34.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,35.0,34.0,33.0,34.0,32.099999999999994,23.0,29.799999999999997,31.0,29.0,24.0,33.7,23.0,30.0,31.0,32.0,25.0,27.5,22.323529411764707,27.2,30.558823529411764,26.181818181818183,23.5,2.0,3.0,9.0,2.0,2.0,3.0,34.0,23.0,31.0,32.0,32.0,25.0,22.0,21.0,24.0,30.0,21.0,22.0,11.0,2.0,3.0,2.0,11.0,1.0,21.0,29.0,23.0,30.0,20.0,30.0
09_22_2017_0,0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,59.0,80.0,74.0,69.0,66.1,63.0,62.0,82.0,75.0,75.0,68.0,56.05882352941177,54.666666666666664,71.32352941176471,72.5,67.48484848484848,64.76470588235294,9.0,17.0,11.0,9.0,12.0,11.0,65.0,63.0,83.0,81.0,80.0,70.0,46.0,47.0,51.0,64.0,61.0,61.0,20.0,12.0,12.0,21.0,13.0,10.0,5.0,4.0,11.0,4.0,8.0,13.0,0.0,161.2,421.0999999999999,0.0,0.0,326.0,51.19999999999999,184.8,2258.7,0.0,14.000000000000007,387.4,11.0,151.9090909090909,565.8529411764706,0.0,3.272727272727273,266.94117647058823,8.0,20.0,13.0,0.0,5.0,21.0,92.0,217.0,2718.0,0.0,34.0,447.0,0.0,102.0,0.0,0.0,0.0,58.0,1.0,12.0,15.0,0.0,2.0,13.0,25.0,1.0,6.0,34.0,26.0,0.0,1002.0,1000.0,1000.0,998.0,996.0,996.0,1002.0,1000.0,1000.0,999.0,996.0,997.0,1001.2941176470588,999.8787878787879,999.5882352941177,997.9117647058823,993.969696969697,995.3235294117648,0.0,3.0,0.0,0.0,5.0,5.0,1002.0,1000.0,1000.0,999.0,997.0,998.0,1000.0,999.0,999.0,997.0,989.0,993.0,3.0,4.0,2.0,3.0,9.0,1.0,31.0,26.0,32.0,31.0,19.0,28.0,0.0,0.0,0.19999999999999574,0.0,0.0,0.0,0.0,0.0,13.799999999999997,0.0,0.0,0.0,0.0,0.0,3.6470588235294117,0.35294117647058826,0.06060606060606061,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,34.0,33.0,23.0,33.0,31.0,34.0,19.0,21.0,19.0,19.0,23.4,26.0,20.0,21.0,20.7,20.0,24.0,27.0,18.41176470588235,20.636363636363637,17.764705882352942,18.529411764705884,22.363636363636363,25.147058823529413,5.0,2.0,8.0,7.0,9.0,3.0,20.0,21.0,23.0,21.0,25.0,27.0,16.0,19.0,16.0,16.0,21.0,22.0,2.0,3.0,8.0,3.0,6.0,7.0,27.0,28.0,18.0,24.0,18.0,24.0
07_07_2018_0,0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0,91.70588235294117,80.34375,88.5,100.0,100.0,100.0,4.0,16.0,7.0,0.0,0.0,0.0,100.0,95.0,100.0,100.0,100.0,100.0,66.0,65.0,66.0,100.0,100.0,100.0,10.0,14.0,8.0,1.0,1.0,1.0,20.0,2.0,19.0,33.0,33.0,32.0,70.09999999999998,345.79999999999995,2107.9,0.0,72.89999999999998,428.6,105.10000000000001,589.7,2503.1,0.0,100.19999999999999,486.8,36.76470588235294,381.1875,1160.5588235294117,0.7058823529411765,36.61764705882353,342.75757575757575,17.0,23.0,2.0,0.0,15.0,17.0,111.0,2504.0,2817.0,17.0,114.0,542.0,0.0,114.0,61.0,0.0,0.0,127.0,1.0,8.0,32.0,3.0,4.0,16.0,16.0,1.0,0.0,31.0,15.0,0.0,1000.0,1001.0,1002.0,1002.0,1002.0,1003.0,1000.0,1001.0,1002.0,1002.0,1002.0,1003.0,999.7352941176471,1000.4375,1001.6176470588235,1001.7941176470588,1002.0,1002.7272727272727,0.0,2.0,1.0,2.0,0.0,2.0,1000.0,1001.0,1002.0,1002.0,1002.0,1004.0,999.0,999.0,1001.0,1001.0,1002.0,1002.0,2.0,1.0,2.0,2.0,1.0,1.0,32.0,29.0,31.0,30.0,33.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.800000000000004,0.0,0.0,0.0,0.0,0.0,2.393939393939394,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,32.0,34.0,34.0,34.0,25.0,28.0,29.0,31.0,20.0,23.0,24.0,28.0,29.900000000000002,32.7,21.0,24.0,24.0,25.676470588235293,28.625,25.647058823529413,19.852941176470587,22.41176470588235,22.515151515151516,6.0,5.0,6.0,4.0,8.0,3.0,28.0,31.0,33.0,21.0,24.0,24.0,23.0,28.0,19.0,19.0,20.0,19.0,2.0,4.0,12.0,4.0,5.0,8.0,26.0,23.0,16.0,26.0,21.0,22.0
08_09_2018_0,0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,75.0,100.0,100.0,100.0,100.0,90.0,76.0,100.0,100.0,100.0,100.0,80.96875,72.02941176470588,86.67647058823529,100.0,100.0,96.82857142857142,8.0,14.0,11.0,0.0,0.0,13.0,94.0,78.0,100.0,100.0,100.0,100.0,70.0,62.0,54.0,100.0,100.0,89.0,17.0,16.0,5.0,1.0,1.0,11.0,7.0,4.0,18.0,32.0,33.0,11.0,49.099999999999994,250.79999999999998,1226.599999999999,0.0,22.099999999999998,317.59999999999997,95.60000000000001,437.5999999999999,2070.2,0.0,49.099999999999994,445.80000000000007,29.4375,233.02941176470588,881.5588235294117,0.0,17.735294117647058,276.0,14.0,23.0,8.0,0.0,15.0,18.0,106.0,693.0,2471.0,0.0,129.0,643.0,0.0,109.0,3.0,0.0,0.0,118.0,1.0,10.0,26.0,0.0,1.0,17.0,17.0,1.0,0.0,33.0,18.0,0.0,1007.6999999999999,1008.0,1008.0,1007.0,1006.0,1005.0,1008.0,1008.0,1008.0,1007.0,1006.0,1006.0,1007.3125,1007.5294117647059,1007.8529411764706,1006.969696969697,1005.8235294117648,1004.9714285714285,0.0,1.0,1.0,0.0,1.0,4.0,1008.0,1008.0,1009.0,1007.0,1006.0,1006.0,1007.0,1007.0,1007.0,1006.0,1005.0,1004.0,2.0,1.0,3.0,2.0,3.0,4.0,30.0,32.0,30.0,31.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,34.0,34.0,33.0,34.0,35.0,28.7,29.0,29.099999999999998,23.0,25.0,30.0,29.0,29.0,30.7,23.0,25.0,30.0,27.625,28.91176470588235,25.764705882352942,22.666666666666668,24.441176470588236,28.685714285714287,3.0,3.0,3.0,2.0,6.0,6.0,29.0,29.0,31.0,24.0,26.0,30.0,26.0,28.0,22.0,22.0,23.0,26.0,1.0,4.0,10.0,2.0,5.0,4.0,28.0,27.0,21.0,29.0,23.0,25.0
09_18_2017_2,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,76.4,52.0,39.0,93.1,73.19999999999999,76.0,79.8,59.800000000000004,43.0,96.0,83.0,61.0,74.6969696969697,47.59375,38.14705882352941,77.61764705882354,63.93939393939394,18.0,6.0,4.0,16.0,19.0,2.0,81.0,81.0,62.0,45.0,97.0,88.0,40.0,67.0,35.0,33.0,47.0,46.0,14.0,15.0,22.0,9.0,9.0,29.0,2.0,12.0,6.0,9.0,6.0,2.0,1278.699999999999,0.0,0.0,169.09999999999997,1315.8999999999992,0.0,2096.1,0.0,68.40000000000003,194.8,2166.9,0.0,761.0882352941177,0.0,15.15625,165.7058823529412,793.3529411764706,0.0,9.0,0.0,9.0,24.0,7.0,0.0,2338.0,0.0,109.0,239.0,2532.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,21.0,0.0,1.0,6.0,23.0,0.0,4.0,33.0,22.0,4.0,4.0,33.0,1003.0,1000.0,999.0,1003.0,1005.0,1005.0,1003.0,1001.0,999.0,1004.0,1005.0,1005.0,1002.5882352941177,999.969696969697,999.03125,1001.8823529411765,1004.8235294117648,1004.8181818181819,1.0,1.0,1.0,4.0,1.0,2.0,1003.0,1001.0,1000.0,1004.0,1005.0,1005.0,1001.0,999.0,999.0,1000.0,1004.0,1004.0,4.0,4.0,1.0,1.0,2.0,2.0,29.0,28.0,30.0,29.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,32.0,34.0,34.0,33.0,27.099999999999998,22.0,27.7,30.0,26.099999999999998,22.0,31.0,23.0,30.0,30.0,27.0,23.0,24.676470588235293,21.90909090909091,27.0,29.11764705882353,22.352941176470587,20.818181818181817,5.0,5.0,7.0,4.0,4.0,5.0,33.0,23.0,30.0,31.0,28.0,23.0,20.0,20.0,24.0,27.0,18.0,19.0,13.0,3.0,3.0,8.0,12.0,2.0,16.0,25.0,22.0,22.0,18.0,26.0
02_19_2018_1,1,1.0,1.0,1.0,1.0,0.0,0.0,100.0,100.0,91.0,90.0,84.0,77.0,100.0,100.0,93.0,91.0,85.80000000000001,78.69999999999999,100.0,99.42857142857143,89.08823529411765,88.8,82.93939393939394,74.82352941176471,0.0,1.0,9.0,11.0,8.0,7.0,100.0,100.0,95.0,95.0,87.0,80.0,100.0,97.0,85.0,83.0,79.0,65.0,1.0,3.0,15.0,11.0,12.0,19.0,33.0,31.0,10.0,13.0,13.0,8.0,0.0,0.0,270.09999999999997,271.0,0.0,0.0,0.0,0.0,325.4,335.20000000000005,0.0,0.0,0.0,0.0,202.3235294117647,181.8,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,447.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,34.0,35.0,0.0,7.0,33.0,34.0,1011.0,1011.0,1009.0,1010.0,1012.0,1014.0,1012.0,1011.0,1009.0,1010.0,1012.0,1014.0,1011.2647058823529,1010.4,1009.0588235294117,1009.8285714285714,1011.030303030303,1013.3529411764706,1.0,1.0,0.0,2.0,3.0,3.0,1012.0,1011.0,1010.0,1010.0,1013.0,1014.0,1011.0,1010.0,1009.0,1009.0,1010.0,1012.0,3.0,3.0,2.0,2.0,1.0,2.0,30.0,31.0,32.0,31.0,29.0,29.0,10.0,18.0,1.0,0.0,0.0,0.0,11.0,19.6,16.4,3.000000000000007,0.0,0.0,8.617647058823529,14.142857142857142,3.323529411764706,0.9714285714285714,0.0,0.0,12.0,13.0,5.0,0.0,0.0,0.0,15.0,24.0,21.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,6.0,4.0,0.0,0.0,11.0,6.0,23.0,31.0,33.0,34.0,3.0,5.0,7.0,4.0,4.0,7.0,3.0,6.0,7.0,5.0,5.0,8.0,2.235294117647059,4.942857142857143,6.264705882352941,4.114285714285714,4.212121212121212,6.470588235294118,3.0,4.0,4.0,5.0,3.0,6.0,3.0,6.0,7.0,5.0,5.0,8.0,1.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,7.0,3.0,4.0,29.0,28.0,25.0,23.0,27.0,24.0
07_04_2018_0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,100.0,100.0,100.0,64.1,100.0,84.0,100.0,100.0,100.0,78.3,94.94117647058823,74.71428571428571,88.0,100.0,77.0,62.73529411764706,8.0,13.0,9.0,0.0,6.0,19.0,100.0,91.0,100.0,100.0,100.0,88.0,84.0,55.0,57.0,100.0,47.0,52.0,8.0,21.0,3.0,1.0,14.0,15.0,18.0,1.0,20.0,33.0,14.0,0.0,65.19999999999997,271.4,2120.7,0.0,65.79999999999998,201.59999999999997,109.69999999999999,510.8000000000001,2535.0000000000005,0.6999999999999993,98.39999999999999,504.9,38.1764705882353,418.54285714285714,1088.34375,1.411764705882353,35.88235294117647,348.38235294117646,16.0,27.0,7.0,0.0,16.0,24.0,142.0,2996.0,2935.0,30.0,123.0,3192.0,0.0,135.0,20.0,0.0,0.0,100.0,3.0,8.0,25.0,4.0,2.0,5.0,15.0,0.0,0.0,30.0,16.0,5.0,1004.0,1005.0,1005.0,1005.0,1005.0,1006.0,1005.0,1005.0,1006.0,1005.0,1005.0,1006.0,1004.1470588235294,1004.3428571428572,1005.21875,1004.9705882352941,1004.5,1005.3235294117648,0.0,2.0,3.0,1.0,1.0,2.0,1005.0,1005.0,1006.0,1005.0,1005.0,1006.0,1004.0,1003.0,1005.0,1004.0,1004.0,1004.0,2.0,2.0,4.0,2.0,2.0,1.0,32.0,31.0,25.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,35.0,32.0,34.0,34.0,34.0,27.0,27.0,26.7,18.0,24.0,25.0,27.0,27.6,29.0,19.0,25.0,25.7,25.852941176470587,27.2,22.8125,17.58823529411765,22.294117647058822,25.08823529411765,3.0,3.0,5.0,3.0,7.0,5.0,27.0,30.0,31.0,19.0,25.0,27.0,24.0,27.0,17.0,17.0,19.0,24.0,1.0,4.0,14.0,2.0,2.0,4.0,30.0,28.0,13.0,29.0,25.0,25.0
