date,airPressure_outside_fall,airPressure_outside_max,airPressure_outside_mean,airPressure_outside_min,airPressure_outside_rise,hour_group,humidity_outside_fall,humidity_outside_max,humidity_outside_mean,humidity_outside_min,humidity_outside_rise,light_outside_max,light_outside_mean,light_outside_min,rain_outside_max,rain_outside_mean,rain_outside_min,temperature_outside_fall,temperature_outside_max,temperature_outside_mean,temperature_outside_min,temperature_outside_rise
04-23-2017 0,2,1009,1005.0588235294,1001,2,0,44,85,80.7941176471,71,26,0,0,0,16,8.8529411765,5,2,7,6.1764705882,6,5
04-23-2017 1,5,1002,1001.4411764706,1001,2,1,41,80,56.9117647059,33,47,2702,977.5882352941,1,11,2.8823529412,0,29,23,12.9117647059,6,23
04-23-2017 2,11,1004,1001.1428571429,1000,5,2,45,73,48.2857142857,35,28,729,368.1428571429,74,14,2.3428571429,0,14,20,15.5428571429,10,22
04-23-2017 3,14,1009,1006.7647058824,1004,0,3,38,85,79.8235294118,68,26,84,14.0588235294,0,24,9.5294117647,1,11,10,7.5882352941,6,17
04-24-2017 0,14,1013,1011,1009,11,0,52,86,73.1764705882,52,29,0,0,0,6,3,0,5,10,7.2352941176,5,8
04-24-2017 1,5,1012,1011.4571428572,1010,0,1,17,85,57.6285714286,26,60,3079,1005.5142857143,0,5,2.2285714286,0,28,24,11.1142857143,5,20
04-24-2017 2,2,1012,1011.3235294118,1011,5,2,38,37,32.2352941176,29,41,570,341.0588235294,131,0,0,0,20,15,14.5882352941,14,17
04-24-2017 3,2,1012,1011.5714285714,1011,0,3,48,55,37.8571428571,30,20,214,43.4285714286,0,0,0,0,17,22,14.6571428571,10,28
04-25-2017 0,0,1012,1010.5,1009,2,0,52,79,65.2058823529,52,23,0,0,0,0,0,0,8,17,9.4411764706,6,14
04-25-2017 1,5,1013,1012.3428571429,1012,5,1,31,80,43.8,27,62,2873,999.2,4,0,0,0,37,26,17.2285714286,6,25
04-25-2017 2,0,1012,1010.5,1009,8,2,32,35,32.3823529412,29,23,474,250.4411764706,177,0,0,0,11,20,18.8823529412,17,2
04-25-2017 3,2,1009,1008.5882352941,1008,2,3,55,56,42.0588235294,31,20,175,40.0588235294,0,0,0,0,11,20,17.5294117647,13,35
04-26-2017 0,0,1009,1008.0285714286,1007,2,0,45,69,62.4571428571,58,37,1,0.0285714286,0,0,0,0,2,15,11.3142857143,9,17
04-26-2017 1,0,1009,1009,1009,0,1,29,70,46.5,31,52,2990,1108.5588235294,9,0,0,0,38,24,15.3235294118,8,29
04-26-2017 2,0,1009,1007.5882352941,1006,8,2,32,39,37.4705882353,35,32,499,239.0882352941,165,0,0,0,20,23,21.4705882353,20,14
